@@,name,party,constituency
->,Bhagwant Maan->Bhagwant Mann,Aam Aadmi Party,Sangrur
->,Benny Behanan->Behanan Benny,Indian National Congress,Chalakudy
->,Bellana Chandra Sekhar->Chandra Sekhar Bellana,Yuvajana Sramika Rythu Congress Party,Vizianagaram
->,Bandi Sanjay Kumar->Sanjay Kumar Bandi,Bharatiya Janata Party,Karimnagar
->,Balli Durga Prasad Rao->Maddila Gurumoorthy,Yuvajana Sramika Rythu Congress Party,Tirupati
->,Balashowry Vallabhaneni->Balashowry Vallabbhaneni,Yuvajana Sramika Rythu Congress Party,Machilipatnam
->,Baidyanath Prasad Mahto->Sunil Kumar,Janata Dal (United),Valmiki Nagar
->,B B Patil->Bheemrao Baswanthrao Patil,Telangana Rashtra Samithi,Zahirabad
->,Azam Khan->Mohammad Azam Khan,Samajwadi Party,Rampur
->,Atul Rai->Atul Kumar Singh,Bahujan Samaj Party,Ghosi
->,Ashok Nete->Ashok Mahadeorao Nete,Bharatiya Janata Party,Gadchiroli-Chimur
->,Annapurna Devi Yadav->Annpurna Devi,Bharatiya Janata Party,Kodarma
->,Annadurai C N->C.N. Annadurai,Dravida Munnetra Kazhagam,Tiruvannamalai
->,Andimuthu Raja->A. Raja,Dravida Munnetra Kazhagam,Nilgiris
->,Ananth Kumar Hegde->Anantkumar Hegde,Bharatiya Janata Party,Uttara Kannada
->,Amol Kolhe->Amol Ramsing Kolhe,Nationalist Congress Party,Shirur
->,Amit Shah->Amit Anil Chandra Shah,Bharatiya Janata Party,Gandhinagar
->,Ajay Kumar Mishra->Ajay (Teni) Misra,Bharatiya Janata Party,Kheri
->,A.K.P. Chinraj,Kongunadu Makkal Desia Katchi->Dravida Munnetra Kazhagam,Namakkal
---,Udayanraje Bhosale,Nationalist Congress Party,Satara
---,Suresh Angadi,Bharatiya Janata Party,Belagavi
---,Sudhir Gupta,Bharatiya Janata Party,Mandsaur
---,Srinivasa Prasad,Bharatiya Janata Party,Chamarajanagar
---,S. Ramalingam,Dravida Munnetra Kazhagam,Mayiladuturai
---,Ramesh Pokhriyal,Bharatiya Janata Party,Haridwar
---,Ram Swaroop Sharma,Bharatiya Janata Party,Mandi
---,Ram Chandra Paswan,Lok Jan Shakti Party,Samastipur
---,Rahul Shewale,Shiv Sena,Mumbai South Central
---,Pushpendra Singh Chandel,Bharatiya Janata Party,Hamirpur
---,Poonam Mahajan Rao,Bharatiya Janata Party,Mumbai North Central
---,Pankaj Choudhary,Bharatiya Janata Party,Maharajganj
---,P. K. Kunhalikutty,Indian Union Muslim League,Malappuram
---,Omprakash Rajenimbalkar,Shiv Sena,Osmanabad
---,Omprakash Rajenimbalkar,Shiv Sena,Osmanabad
---,Nand Kumar Singh Chauhan,Bharatiya Janata Party,Khandwa
---,Mohanbhai Sanjibhai Delkar,Independent,Dadra and Nagar Haveli
---,Manoj Kotak,Bharatiya Janata Party,Mumbai North East
---,Komatireddy Venkat Reddy,Indian National Congress,Bhuvanagiri
---,Kodikunnil Suresh,Indian National Congress,Mavelikara
---,Kanimozhi,Dravida Munnetra Kazhagam,Thoothukudi in Tamil Nadu
---,Jayakumar.K.,Indian National Congress,Thiruvallur
---,H. Vasanthakumar,Indian National Congress,Kanyakumari
---,Guharam Ajgalle,Bharatiya Janata Party,Janjgir
---,Gopal Shetty,Bharatiya Janata Party,Mumbai North
---,Gajanan Kirtikar,Shiv Sena,Mumbai North West
---,G. M. Siddeswara,Bharatiya Janata Party,Davangere
---,Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,Anakapalli
---,B. N. Bache Gowda,Bharatiya Janata Party,Chikballapur
---,Arvind Sawant,Shiv Sena,Mumbai South
---,Anurag Thakur,Bharatiya Janata Party,Hamirpur
---,Annasaheb Jolle,Bharatiya Janata Party,Chikodi
+++,Vijayakumar (Alias) Vijay Vasanth,Indian National Congress,Kanniyakumari
+++,Venkata Satyavathi Beesetti,Yuvajana Sramika Rythu Congress Party,Anakapalle
+++,V. Sreenivasa Prasad,Bharatiya Janata Party,Chamrajanagar
+++,Suresh Kodikunnil,Indian National Congress,Mavelikkara
+++,Sudheer Gupta,Bharatiya Janata Party,Mandsour
+++,Sellaperumal Ramalingam,Dravida Munnetra Kazhagam,Mayiladuthurai
+++,Ramesh Pokhriyal Nishank,Bharatiya Janata Party,Hardwar
+++,Rahul Ramesh Shewale,Shiv Sena,Mumbai South-Central
+++,Poonam Pramod Mahajan,Bharatiya Janata Party,Mumbai-North-Central
+++,Pankaj Chaudhary,Bharatiya Janata Party,Maharajganj
+++,Omprakash Bhupalsingh alias Pavan Rajenimbalkar,Shiv Sena,Osmanabad
+++,Manoj Kishorbhai Kotak,Bharatiya Janata Party,Mumbai-North-East
+++,Mangal Suresh Angadi,Bharatiya Janata Party,Belgaum
+++,Kunwar Pushpendra Singh Chandel,Bharatiya Janata Party,Hamirpur
+++,Komati Reddy Venkat Reddy,Indian National Congress,Bhongir
+++,Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam,Thoothukkudi
+++,K. Jayakumar,Indian National Congress,Tiruvallur
+++,Guharam Ajgalley,Bharatiya Janata Party,Janjgir-Champa
+++,Gowdar Mallikarjunappa Siddeshwara,Bharatiya Janata Party,Davanagere
+++,Gopal Chinayya Shetty,Bharatiya Janata Party,Mumbai-North
+++,Gajanan Chandrakant Kirtikar,Shiv Sena,Mumbai-North-West
+++,Durai Murugan Kathir Anand,Dravida Munnetra Kazhagam,Vellore
+++,Bache Gowda B.N.,Bharatiya Janata Party,Chikkballapur
+++,Arvind Ganpat Sawant,Shiv Sena,Mumbai-South
+++,Anurag Singh Thakur,Bharatiya Janata Party,Hamirpur
+++,Annasaheb Shankar Jolle,Bharatiya Janata Party,Chikkodi
